label,join_buffer_size_bytes,join_buffer_size_label,join_id,actual_time_get_all_ms
q5,2097152,2MB,3,57.6
q5,2097152,2MB,4,52.8
q5,2097152,2MB,5,48.9
q5,2097152,2MB,6,43.2
q5,2097152,2MB,7,31.8
q5,2097152,2MB,8,26.4
q5,2097152,2MB,9,24.7
q5,2097152,2MB,10,17.9
q5,2097152,2MB,1,64.3
q5,2097152,2MB,2,59.0
q5,2097152,2MB,3,57.0
q5,2097152,2MB,4,52.2
q5,2097152,2MB,5,48.2
q5,2097152,2MB,6,42.6
q5,2097152,2MB,7,31.3
q5,2097152,2MB,8,26.0
q5,2097152,2MB,9,24.4
q5,2097152,2MB,10,18.0
q5,2097152,2MB,1,64.1
q5,2097152,2MB,2,59.7
q5,2097152,2MB,3,57.7
q5,2097152,2MB,4,52.9
q5,2097152,2MB,5,48.9
q5,2097152,2MB,6,43.0
q5,2097152,2MB,7,31.3
q5,2097152,2MB,8,26.1
q5,2097152,2MB,9,24.4
q5,2097152,2MB,10,17.9
q5,2097152,2MB,1,63.6
q5,2097152,2MB,2,59.2
q5,2097152,2MB,3,57.2
q5,2097152,2MB,4,52.4
q5,2097152,2MB,5,48.4
q5,2097152,2MB,6,42.6
q5,2097152,2MB,7,31.2
q5,2097152,2MB,8,26.0
q5,2097152,2MB,9,24.4
q5,2097152,2MB,10,17.8
q5,2097152,2MB,1,63.8
q5,2097152,2MB,2,59.4
q5,2097152,2MB,3,57.3
q5,2097152,2MB,4,52.5
q5,2097152,2MB,5,48.5
q5,2097152,2MB,6,42.6
q5,2097152,2MB,7,31.1
q5,2097152,2MB,8,25.8
q5,2097152,2MB,9,24.2
q5,2097152,2MB,10,17.7
q5,2097152,2MB,1,63.8
q5,2097152,2MB,2,59.4
q5,2097152,2MB,3,57.3
q5,2097152,2MB,4,52.5
q5,2097152,2MB,5,48.5
q5,2097152,2MB,6,42.8
q5,2097152,2MB,7,31.3
q5,2097152,2MB,8,25.9
q5,2097152,2MB,9,24.2
q5,2097152,2MB,10,17.7
q5,2097152,2MB,1,64.1
q5,2097152,2MB,2,59.7
q5,2097152,2MB,3,57.7
q5,2097152,2MB,4,52.9
q5,2097152,2MB,5,48.9
q5,2097152,2MB,6,43.2
q5,2097152,2MB,7,31.8
q5,2097152,2MB,8,26.4
q5,2097152,2MB,9,24.7
q5,2097152,2MB,10,18.2
q5,2097152,2MB,1,63.7
q5,2097152,2MB,2,59.3
q5,2097152,2MB,3,57.3
q5,2097152,2MB,4,52.5
q5,2097152,2MB,5,48.5
q5,2097152,2MB,6,42.8
q5,2097152,2MB,7,31.4
q5,2097152,2MB,8,26.1
q5,2097152,2MB,9,24.5
q5,2097152,2MB,10,17.9
q5,2097152,2MB,1,64.9
q5,2097152,2MB,2,60.5
q5,2097152,2MB,3,58.5
q5,2097152,2MB,4,53.7
q5,2097152,2MB,5,49.7
q5,2097152,2MB,6,43.9
q5,2097152,2MB,7,31.6
q5,2097152,2MB,8,26.3
q5,2097152,2MB,9,24.6
q5,2097152,2MB,10,18.1
q5,2097152,2MB,1,64.5
q5,2097152,2MB,2,60.0
q5,2097152,2MB,3,58.0
q5,2097152,2MB,4,53.1
q5,2097152,2MB,5,49.1
q5,2097152,2MB,6,43.3
q5,2097152,2MB,7,31.4
q5,2097152,2MB,8,26.1
q5,2097152,2MB,9,24.2
q5,2097152,2MB,10,17.7
q5,2097152,2MB,1,64.4
q5,2097152,2MB,2,60.0
q5,2097152,2MB,3,57.9
q5,2097152,2MB,4,53.0
q5,2097152,2MB,5,49.0
q5,2097152,2MB,6,43.2
q5,2097152,2MB,7,31.4
q5,2097152,2MB,8,26.1
q5,2097152,2MB,9,24.4
q5,2097152,2MB,10,17.9
q5,2097152,2MB,1,65.3
q5,2097152,2MB,2,60.9
q5,2097152,2MB,3,58.9
q5,2097152,2MB,4,54.0
q5,2097152,2MB,5,50.1
q5,2097152,2MB,6,44.3
q5,2097152,2MB,7,32.2
q5,2097152,2MB,8,26.8
q5,2097152,2MB,9,25.1
q5,2097152,2MB,10,18.5
q5,2097152,2MB,1,64.0
q5,2097152,2MB,2,59.6
q5,2097152,2MB,3,57.6
q5,2097152,2MB,4,52.7
q5,2097152,2MB,5,48.7
q5,2097152,2MB,6,42.9
q5,2097152,2MB,7,31.3
q5,2097152,2MB,8,26.0
q5,2097152,2MB,9,24.4
q5,2097152,2MB,10,17.8
q5,2097152,2MB,1,64.6
q5,2097152,2MB,2,60.2
q5,2097152,2MB,3,58.2
q5,2097152,2MB,4,53.2
q5,2097152,2MB,5,49.3
q5,2097152,2MB,6,43.5
q5,2097152,2MB,7,31.4
q5,2097152,2MB,8,26.1
q5,2097152,2MB,9,24.4
q5,2097152,2MB,10,17.9
q5,2097152,2MB,1,63.6
q5,2097152,2MB,2,59.1
q5,2097152,2MB,3,57.1
q5,2097152,2MB,4,52.3
q5,2097152,2MB,5,48.4
q5,2097152,2MB,6,42.7
q5,2097152,2MB,7,31.2
q5,2097152,2MB,8,26.0
q5,2097152,2MB,9,24.3
q5,2097152,2MB,10,17.8
q5,2097152,2MB,1,64.5
q5,2097152,2MB,2,60.0
q5,2097152,2MB,3,58.0
q5,2097152,2MB,4,53.1
q5,2097152,2MB,5,49.1
q5,2097152,2MB,6,43.3
q5,2097152,2MB,7,31.5
q5,2097152,2MB,8,26.1
q5,2097152,2MB,9,24.4
q5,2097152,2MB,10,17.9
q5,2097152,2MB,1,64.0
q5,2097152,2MB,2,59.6
q5,2097152,2MB,3,57.6
q5,2097152,2MB,4,52.7
q5,2097152,2MB,5,48.8
q5,2097152,2MB,6,42.9
q5,2097152,2MB,7,31.5
q5,2097152,2MB,8,26.2
q5,2097152,2MB,9,24.5
q5,2097152,2MB,10,17.9
q5,2097152,2MB,1,63.6
q5,2097152,2MB,2,59.2
q5,2097152,2MB,3,57.2
q5,2097152,2MB,4,52.3
q5,2097152,2MB,5,48.4
q5,2097152,2MB,6,42.7
q5,2097152,2MB,7,31.2
q5,2097152,2MB,8,26.0
q5,2097152,2MB,9,24.3
q5,2097152,2MB,10,17.8
q5,2097152,2MB,1,66.4
q5,2097152,2MB,2,62.0
q5,2097152,2MB,3,60.0
q5,2097152,2MB,4,55.1
q5,2097152,2MB,5,51.0
q5,2097152,2MB,6,45.1
q5,2097152,2MB,7,32.2
q5,2097152,2MB,8,26.8
q5,2097152,2MB,9,25.1
q5,2097152,2MB,10,18.4
q5,2097152,2MB,1,65.2
q5,2097152,2MB,2,60.8
q5,2097152,2MB,3,58.7
q5,2097152,2MB,4,53.0
q5,2097152,2MB,5,49.0
q5,2097152,2MB,6,43.1
q5,2097152,2MB,7,31.5
q5,2097152,2MB,8,26.2
q5,2097152,2MB,9,24.4
q5,2097152,2MB,10,17.8
q5,2097152,2MB,1,64.3
q5,2097152,2MB,2,59.9
q5,2097152,2MB,3,57.9
q5,2097152,2MB,4,52.9
q5,2097152,2MB,5,48.9
q5,2097152,2MB,6,43.1
q5,2097152,2MB,7,31.6
q5,2097152,2MB,8,26.2
q5,2097152,2MB,9,24.5
q5,2097152,2MB,10,17.9
q5,2097152,2MB,1,63.7
q5,2097152,2MB,2,59.3
q5,2097152,2MB,3,57.3
q5,2097152,2MB,4,52.5
q5,2097152,2MB,5,48.5
q5,2097152,2MB,6,42.7
q5,2097152,2MB,7,31.3
q5,2097152,2MB,8,26.0
q5,2097152,2MB,9,24.3
q5,2097152,2MB,10,17.8
q5,2097152,2MB,1,64.8
q5,2097152,2MB,2,60.4
q5,2097152,2MB,3,58.4
q5,2097152,2MB,4,53.4
q5,2097152,2MB,5,49.4
q5,2097152,2MB,6,43.5
q5,2097152,2MB,7,31.9
q5,2097152,2MB,8,26.6
q5,2097152,2MB,9,24.9
q5,2097152,2MB,10,18.3
q5,2097152,2MB,1,65.9
q5,2097152,2MB,2,61.5
q5,2097152,2MB,3,59.4
q5,2097152,2MB,4,54.5
q5,2097152,2MB,5,50.6
q5,2097152,2MB,6,44.7
q5,2097152,2MB,7,32.0
q5,2097152,2MB,8,26.5
q5,2097152,2MB,9,24.8
q5,2097152,2MB,10,18.1
q5,2097152,2MB,1,64.1
q5,2097152,2MB,2,59.6
q5,2097152,2MB,3,57.6
q5,2097152,2MB,4,52.8
q5,2097152,2MB,5,48.8
q5,2097152,2MB,6,42.9
q5,2097152,2MB,7,31.5
q5,2097152,2MB,8,26.2
q5,2097152,2MB,9,24.6
q5,2097152,2MB,10,18.0
q5,2097152,2MB,1,64.9
q5,2097152,2MB,2,60.4
q5,2097152,2MB,3,58.3
q5,2097152,2MB,4,53.4
q5,2097152,2MB,5,49.4
q5,2097152,2MB,6,43.5
q5,2097152,2MB,7,31.4
q5,2097152,2MB,8,26.1
q5,2097152,2MB,9,24.4
q5,2097152,2MB,10,17.9
q5,2097152,2MB,1,64.4
q5,2097152,2MB,2,60.0
q5,2097152,2MB,3,57.9
q5,2097152,2MB,4,53.1
q5,2097152,2MB,5,49.0
q5,2097152,2MB,6,43.2
q5,2097152,2MB,7,31.4
q5,2097152,2MB,8,26.1
q5,2097152,2MB,9,24.3
q5,2097152,2MB,10,17.8
q5,2097152,2MB,1,63.9
q5,2097152,2MB,2,59.3
q5,2097152,2MB,3,57.3
q5,2097152,2MB,4,52.4
q5,2097152,2MB,5,48.5
q5,2097152,2MB,6,42.7
q5,2097152,2MB,7,31.3
q5,2097152,2MB,8,26.0
q5,2097152,2MB,9,24.3
q5,2097152,2MB,10,17.9
q5,2097152,2MB,1,63.7
q5,2097152,2MB,2,59.3
q5,2097152,2MB,3,57.3
q5,2097152,2MB,4,52.5
q5,2097152,2MB,5,48.5
q5,2097152,2MB,6,42.8
q5,2097152,2MB,7,31.5
q5,2097152,2MB,8,26.2
q5,2097152,2MB,9,24.5
q5,2097152,2MB,10,17.9
q5,2097152,2MB,1,64.9
q5,2097152,2MB,2,60.5
q5,2097152,2MB,3,58.4
q5,2097152,2MB,4,53.6
q5,2097152,2MB,5,49.7
q5,2097152,2MB,6,43.9
q5,2097152,2MB,7,32.5
q5,2097152,2MB,8,27.2
q5,2097152,2MB,9,25.6
q5,2097152,2MB,10,18.9
q5,2097152,2MB,1,64.2
q5,2097152,2MB,2,59.7
q5,2097152,2MB,3,57.7
q5,2097152,2MB,4,52.9
q5,2097152,2MB,5,49.0
q5,2097152,2MB,6,43.2
q5,2097152,2MB,7,31.6
q5,2097152,2MB,8,26.2
q5,2097152,2MB,9,24.5
q5,2097152,2MB,10,18.0
q5,2097152,2MB,1,64.5
q5,2097152,2MB,2,60.1
q5,2097152,2MB,3,58.1
q5,2097152,2MB,4,53.2
q5,2097152,2MB,5,49.2
q5,2097152,2MB,6,43.4
q5,2097152,2MB,7,31.3
q5,2097152,2MB,8,26.0
q5,2097152,2MB,9,24.3
q5,2097152,2MB,10,17.7
q5,2097152,2MB,1,65.7
q5,2097152,2MB,2,61.2
q5,2097152,2MB,3,59.2
q5,2097152,2MB,4,54.2
q5,2097152,2MB,5,50.1
q5,2097152,2MB,6,43.9
q5,2097152,2MB,7,31.9
q5,2097152,2MB,8,26.6
q5,2097152,2MB,9,24.8
q5,2097152,2MB,10,18.2
q5,2097152,2MB,1,64.9
q5,2097152,2MB,2,60.5
q5,2097152,2MB,3,58.4
q5,2097152,2MB,4,53.5
q5,2097152,2MB,5,49.5
q5,2097152,2MB,6,43.3
q5,2097152,2MB,7,31.9
q5,2097152,2MB,8,26.6
q5,2097152,2MB,9,24.9
q5,2097152,2MB,10,18.3
q5,2097152,2MB,1,64.3
q5,2097152,2MB,2,59.7
q5,2097152,2MB,3,57.7
q5,2097152,2MB,4,52.7
q5,2097152,2MB,5,48.7
q5,2097152,2MB,6,42.9
q5,2097152,2MB,7,31.5
q5,2097152,2MB,8,26.2
q5,2097152,2MB,9,24.6
q5,2097152,2MB,10,18.1
q5,2097152,2MB,1,63.6
