label,join_buffer_size_bytes,join_buffer_size_label,join_id,actual_time_get_all_ms
q7,524288,512KB,6,135.0
q7,524288,512KB,7,103.0
q7,524288,512KB,8,73.2
q7,524288,512KB,9,33.0
q7,524288,512KB,10,14.0
q7,524288,512KB,11,13.1
q7,524288,512KB,1,370.0
q7,524288,512KB,2,212.0
q7,524288,512KB,3,166.0
q7,524288,512KB,4,140.0
q7,524288,512KB,5,137.0
q7,524288,512KB,6,136.0
q7,524288,512KB,7,104.0
q7,524288,512KB,8,76.1
q7,524288,512KB,9,33.6
q7,524288,512KB,10,14.3
q7,524288,512KB,11,13.5
q7,524288,512KB,1,371.0
q7,524288,512KB,2,210.0
q7,524288,512KB,3,165.0
q7,524288,512KB,4,139.0
q7,524288,512KB,5,136.0
q7,524288,512KB,6,135.0
q7,524288,512KB,7,104.0
q7,524288,512KB,8,75.4
q7,524288,512KB,9,33.9
q7,524288,512KB,10,13.7
q7,524288,512KB,11,12.8
q7,524288,512KB,1,375.0
q7,524288,512KB,2,211.0
q7,524288,512KB,3,165.0
q7,524288,512KB,4,138.0
q7,524288,512KB,5,136.0
q7,524288,512KB,6,134.0
q7,524288,512KB,7,103.0
q7,524288,512KB,8,75.1
q7,524288,512KB,9,34.8
q7,524288,512KB,10,14.3
q7,524288,512KB,11,13.4
q7,524288,512KB,1,369.0
q7,524288,512KB,2,209.0
q7,524288,512KB,3,163.0
q7,524288,512KB,4,136.0
q7,524288,512KB,5,134.0
q7,524288,512KB,6,132.0
q7,524288,512KB,7,102.0
q7,524288,512KB,8,73.9
q7,524288,512KB,9,33.4
q7,524288,512KB,10,14.2
q7,524288,512KB,11,13.3
q7,524288,512KB,1,374.0
q7,524288,512KB,2,214.0
q7,524288,512KB,3,167.0
q7,524288,512KB,4,140.0
q7,524288,512KB,5,138.0
q7,524288,512KB,6,136.0
q7,524288,512KB,7,103.0
q7,524288,512KB,8,74.9
q7,524288,512KB,9,34.5
q7,524288,512KB,10,14.8
q7,524288,512KB,11,13.9
q7,524288,512KB,1,366.0
q7,524288,512KB,2,208.0
q7,524288,512KB,3,162.0
q7,524288,512KB,4,136.0
q7,524288,512KB,5,133.0
q7,524288,512KB,6,132.0
q7,524288,512KB,7,102.0
q7,524288,512KB,8,74.2
q7,524288,512KB,9,34.0
q7,524288,512KB,10,14.1
q7,524288,512KB,11,13.2
q7,524288,512KB,1,371.0
q7,524288,512KB,2,209.0
q7,524288,512KB,3,163.0
q7,524288,512KB,4,137.0
q7,524288,512KB,5,135.0
q7,524288,512KB,6,133.0
q7,524288,512KB,7,102.0
q7,524288,512KB,8,74.1
q7,524288,512KB,9,33.6
q7,524288,512KB,10,13.9
q7,524288,512KB,11,13.0
q7,524288,512KB,1,371.0
q7,524288,512KB,2,210.0
q7,524288,512KB,3,164.0
q7,524288,512KB,4,137.0
q7,524288,512KB,5,134.0
q7,524288,512KB,6,133.0
q7,524288,512KB,7,101.0
q7,524288,512KB,8,74.1
q7,524288,512KB,9,33.9
q7,524288,512KB,10,14.4
q7,524288,512KB,11,13.6
q7,524288,512KB,1,376.0
q7,524288,512KB,2,215.0
q7,524288,512KB,3,165.0
q7,524288,512KB,4,137.0
q7,524288,512KB,5,135.0
q7,524288,512KB,6,133.0
q7,524288,512KB,7,103.0
q7,524288,512KB,8,74.5
q7,524288,512KB,9,34.5
q7,524288,512KB,10,14.6
q7,524288,512KB,11,13.8
q7,524288,512KB,1,369.0
q7,524288,512KB,2,208.0
q7,524288,512KB,3,161.0
q7,524288,512KB,4,135.0
q7,524288,512KB,5,133.0
q7,524288,512KB,6,131.0
q7,524288,512KB,7,101.0
q7,524288,512KB,8,73.2
q7,524288,512KB,9,33.5
q7,524288,512KB,10,14.3
q7,524288,512KB,11,13.4
q7,524288,512KB,1,397.0
q7,524288,512KB,2,227.0
q7,524288,512KB,3,170.0
q7,524288,512KB,4,141.0
q7,524288,512KB,5,138.0
q7,524288,512KB,6,136.0
q7,524288,512KB,7,106.0
q7,524288,512KB,8,76.7
q7,524288,512KB,9,35.0
q7,524288,512KB,10,15.1
q7,524288,512KB,11,14.3
q7,524288,512KB,1,378.0
q7,524288,512KB,2,216.0
q7,524288,512KB,3,169.0
q7,524288,512KB,4,142.0
q7,524288,512KB,5,139.0
q7,524288,512KB,6,138.0
q7,524288,512KB,7,106.0
q7,524288,512KB,8,76.5
q7,524288,512KB,9,35.3
q7,524288,512KB,10,15.5
q7,524288,512KB,11,14.6
q7,524288,512KB,1,369.0
q7,524288,512KB,2,210.0
q7,524288,512KB,3,163.0
q7,524288,512KB,4,137.0
q7,524288,512KB,5,134.0
q7,524288,512KB,6,132.0
q7,524288,512KB,7,103.0
q7,524288,512KB,8,74.6
q7,524288,512KB,9,34.0
q7,524288,512KB,10,14.5
q7,524288,512KB,11,13.7
q7,524288,512KB,1,382.0
q7,524288,512KB,2,217.0
q7,524288,512KB,3,167.0
q7,524288,512KB,4,139.0
q7,524288,512KB,5,136.0
q7,524288,512KB,6,135.0
q7,524288,512KB,7,103.0
q7,524288,512KB,8,73.5
q7,524288,512KB,9,33.7
q7,524288,512KB,10,13.9
q7,524288,512KB,11,13.0
q7,524288,512KB,1,373.0
q7,524288,512KB,2,211.0
q7,524288,512KB,3,165.0
q7,524288,512KB,4,138.0
q7,524288,512KB,5,135.0
q7,524288,512KB,6,134.0
q7,524288,512KB,7,103.0
q7,524288,512KB,8,75.3
q7,524288,512KB,9,35.6
q7,524288,512KB,10,15.1
q7,524288,512KB,11,14.2
q7,524288,512KB,1,368.0
q7,524288,512KB,2,210.0
q7,524288,512KB,3,164.0
q7,524288,512KB,4,137.0
q7,524288,512KB,5,134.0
q7,524288,512KB,6,133.0
q7,524288,512KB,7,103.0
q7,524288,512KB,8,75.6
q7,524288,512KB,9,34.2
q7,524288,512KB,10,14.1
q7,524288,512KB,11,13.2
q7,524288,512KB,1,374.0
q7,524288,512KB,2,211.0
q7,524288,512KB,3,165.0
q7,524288,512KB,4,139.0
q7,524288,512KB,5,136.0
q7,524288,512KB,6,134.0
q7,524288,512KB,7,103.0
q7,524288,512KB,8,75.2
q7,524288,512KB,9,34.5
q7,524288,512KB,10,14.6
q7,524288,512KB,11,13.7
q7,524288,512KB,1,373.0
q7,524288,512KB,2,212.0
q7,524288,512KB,3,166.0
q7,524288,512KB,4,139.0
q7,524288,512KB,5,137.0
q7,524288,512KB,6,135.0
q7,524288,512KB,7,104.0
q7,524288,512KB,8,75.2
q7,524288,512KB,9,34.6
q7,524288,512KB,10,14.8
q7,524288,512KB,11,13.9
q7,524288,512KB,1,368.0
q7,524288,512KB,2,208.0
q7,524288,512KB,3,163.0
q7,524288,512KB,4,136.0
q7,524288,512KB,5,133.0
q7,524288,512KB,6,132.0
q7,524288,512KB,7,102.0
q7,524288,512KB,8,74.8
q7,524288,512KB,9,33.5
q7,524288,512KB,10,13.9
q7,524288,512KB,11,13.1
q7,524288,512KB,1,372.0
q7,524288,512KB,2,211.0
q7,524288,512KB,3,166.0
q7,524288,512KB,4,139.0
q7,524288,512KB,5,136.0
q7,524288,512KB,6,135.0
q7,524288,512KB,7,106.0
q7,524288,512KB,8,76.3
q7,524288,512KB,9,35.2
q7,524288,512KB,10,14.8
q7,524288,512KB,11,14.0
q7,524288,512KB,1,379.0
q7,524288,512KB,2,211.0
q7,524288,512KB,3,165.0
q7,524288,512KB,4,138.0
q7,524288,512KB,5,135.0
q7,524288,512KB,6,134.0
q7,524288,512KB,7,103.0
q7,524288,512KB,8,75.6
q7,524288,512KB,9,34.6
q7,524288,512KB,10,14.0
q7,524288,512KB,11,13.2
q7,524288,512KB,1,373.0
q7,524288,512KB,2,210.0
q7,524288,512KB,3,164.0
q7,524288,512KB,4,137.0
q7,524288,512KB,5,135.0
q7,524288,512KB,6,133.0
q7,524288,512KB,7,102.0
q7,524288,512KB,8,74.1
q7,524288,512KB,9,34.2
q7,524288,512KB,10,14.5
q7,524288,512KB,11,13.7
q7,524288,512KB,1,377.0
q7,524288,512KB,2,216.0
q7,524288,512KB,3,169.0
q7,524288,512KB,4,141.0
q7,524288,512KB,5,139.0
q7,524288,512KB,6,137.0
q7,524288,512KB,7,105.0
q7,524288,512KB,8,76.3
q7,524288,512KB,9,35.5
q7,524288,512KB,10,15.1
q7,524288,512KB,11,14.2
q7,524288,512KB,1,376.0
q7,524288,512KB,2,211.0
q7,524288,512KB,3,165.0
q7,524288,512KB,4,139.0
q7,524288,512KB,5,136.0
q7,524288,512KB,6,134.0
q7,524288,512KB,7,103.0
q7,524288,512KB,8,74.8
q7,524288,512KB,9,33.3
q7,524288,512KB,10,13.8
q7,524288,512KB,11,13.0
q7,524288,512KB,1,369.0
q7,524288,512KB,2,211.0
q7,524288,512KB,3,165.0
q7,524288,512KB,4,139.0
q7,524288,512KB,5,136.0
q7,524288,512KB,6,134.0
q7,524288,512KB,7,104.0
q7,524288,512KB,8,74.6
q7,524288,512KB,9,34.3
q7,524288,512KB,10,14.6
q7,524288,512KB,11,13.7
q7,524288,512KB,1,380.0
q7,524288,512KB,2,212.0
q7,524288,512KB,3,165.0
q7,524288,512KB,4,139.0
q7,524288,512KB,5,136.0
q7,524288,512KB,6,135.0
q7,524288,512KB,7,104.0
q7,524288,512KB,8,75.3
q7,524288,512KB,9,35.1
q7,524288,512KB,10,14.5
q7,524288,512KB,11,13.6
q7,524288,512KB,1,370.0
q7,524288,512KB,2,208.0
q7,524288,512KB,3,162.0
q7,524288,512KB,4,135.0
